"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Convergex Execution Solutions LLC","Cowen Inc.","$2,750,000","$0","$2,750,000","2018","20180913","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","COWN","financial services","investment management and brokerage services","https://www.sec.gov/news/press-release/2018-191",""
"COR Clearing LLC","","$800,000","$0","$800,000","2018","20180928","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/press-release/2018-225",""
"Interstate Helicopters, Inc.","","$45,000","$0","$45,000","2018","20181113","miscellaneous offenses","data submission deficiencies","","","federal","agency action","U.S. Attorney-Western District of Oklahoma","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-wdok/pr/charter-aircraft-company-and-its-owner-plead-guilty-failing-report-leases-faa",""
"First King Properties LLC","","$800,000","$0","$800,000","2018","20180905","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","New Jersey","Newark","","","","","","","","","","","https://www.hud.gov/press/press_releases_media_advisories/HUD_No_18_093",""
"Survival Armor, Inc.","","$900,000","$0","$900,000","2019","20190221","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-Middle District of Florida","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-mdfl/pr/fort-myers-body-armor-manufacturer-agrees-pay-900000-settle-civil-claims-concerning-its",""
"VMJ Construction, LLC  and Vigil Contracting, Inc.?","","$3,600,000","$0","$3,600,000","2019","20190206","miscellaneous offenses","false statements","fraud","VMJ Construction, LLC and its owner as well as Maryland-based Vigil Contracting, Inc. and its operations manager agreed to pay the United States $3.6 million to resolve allegations that they defrauded the Small Business Administration 8(a) Business Development Program.","federal","agency action","U.S. Attorney-District of Colorado","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-co/pr/36-million-settlement-resolves-procurement-fraud-investigation-against-colorado-and",""
"Perkins & Perkins Co., LLC","","$75,666","$0","$75,666","2018","20181210","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-District of Nebraska","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-ne/pr/omaha-company-sentenced-making-false-statements-us-department-labor",""
"Cambridge Management, Inc., Jacksonville Elderly Tower I Limited Partnership, and Jacksonville Elderly Tower I GP, Inc.","","$75,000","$0","$75,000","2019","20190329","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","https://www.hud.gov/press/press_releases_media_advisories/HUD_No_19_038",""
"Aero-Mod, Inc.","","$85,000","$0","$85,000","2009","20090302","miscellaneous offenses","Buy America requirements","","","state","agency action","Pennsylvania Attorney General","civil","","","","","","Pennsylvania","","","","","","","","","","","","Attorney General Announces Settlement with a Wastewater Treatment Supplier Over Violations of PA Steel Products Procurement Act, States News Service, March 2, 2009 (via Nexis).",""
"Americans for Responsible Leadership","","$500,000","$0","$500,000","2013","20131024","miscellaneous offenses","campaign finance violation","","","state","agency action","California Attorney General","civil","","","","","","California","","","","","","","","","","","","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-1-million-civil-settlement-campaign",""
"Bally's Park Place Inc.","Caesars Entertainment Corp.","$157,500","$0","$157,500","2008","20081112","miscellaneous offenses","casino violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","USA","Nevada","publicly traded","CZR","entertainment","casinos","http://www.nj.gov/oag/newsreleases08/pr20081112b.html",""
"Birdsall Services Group","","$1,000,000","$0","$1,000,000","2013","20130830","miscellaneous offenses","campaign finance violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","","","","","","","http://nj.gov/oag/newsreleases13/pr20130830a.html",""
"Birdsall Services Group","","$2,600,000","$0","$2,600,000","2013","20130415","miscellaneous offenses","campaign finance violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","","","","","","","https://nj.gov/oag/newsreleases13/pr20130415b.html",""
"Brunetti Organization","","$22,500","$0","$22,500","2012","20121221","miscellaneous offenses","housing program violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","","","","","","","https://www.nj.gov/oag/newsreleases12/pr20121221a.html",""
